path,hour,ip,country,region,city,isLogged,cookieEnabled,productId,id
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188017da498c
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188017e06ab6
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188017ed8ea6
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188017f7051d
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,1880183995f5
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,1880183e415f
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801845d789
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801872204b
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,1880187788b0
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188018922e2f
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188018ae1dd1
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188018c15c79
/admin,20,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,188018c516ec
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801ac0eefb
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801ad4ec17
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801aeaa7d7
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801af212b0
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801b9f52ad
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801babb527
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801bbba661
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801bc6e4ee
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801bcc84c5
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801be2ac12
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801bff5471
/admin,21,2a10:2f40:a:f68:70b7:4790:6561:cc7d,UA,Lviv,Lviv,true,True,,18801c0e314e
